subject_id,speed,impulse_ns_left,impulse_ns_right,loading_rate_left,loading_rate_right,mean_ap_force_left,mean_ap_force_right,mean_ml_force_left,mean_ml_force_right,mean_vgrf_left,mean_vgrf_right,peak_ap_force_left,peak_ap_force_right,peak_ml_force_left,peak_ml_force_right,peak_vgrf_left,peak_vgrf_right,stance_duration_ms_left,stance_duration_ms_right,ai_stance_duration_ms,ai_peak_vgrf,ai_mean_vgrf,ai_impulse_ns,ai_loading_rate
GP12,1.0,340.80182378946296,334.0083150288519,1.6557103654506236,1.6370283892617177,44.75755703300644,45.1977749313817,23.777945624427304,23.0695557951509,469.00404458317246,466.1630706347528,97.81550831481482,99.12221716666666,42.431563814814815,42.274426166666665,647.7626082407407,642.9088517962963,726.7962962962963,715.1851851851852,1.6104383114798275,0.7521288871306063,0.6075863665838231,2.013457821634821,1.1347378325820425
GP12,1.1,320.4523201025614,308.0994235887712,1.8180076350437389,1.8645752993043065,46.135602778812164,46.00486591083819,24.152671665875815,23.979072564687357,464.130839117596,468.04288656577,104.60050221052632,101.62224662711864,44.77012049122807,44.27226713559322,667.3170144561403,664.0843681694915,693.5438596491229,658.3728813559322,5.203127859344868,0.48560056025688864,0.8393387070218454,3.9305901662907607,2.5290761995458744
GP12,1.2,304.805142394725,308.5071699683644,1.9389241647026536,1.9039117655839295,51.31374925470725,50.65083341222301,24.072593900256667,23.6128917150266,472.17873247940656,470.66843585295555,114.11625743333335,112.77634822033899,46.227292416666664,46.6132496101695,678.1932088166667,670.3074402711865,645.6833333333333,655.4745762711865,1.5050045602580566,1.1695609565800786,0.3203693402658904,1.2072242800329727,1.8222167042199269
GP12,1.3,305.993036512825,296.2941948837787,2.0416201995770935,2.0012993974609965,58.16638232036526,56.47308713397363,26.085903573898246,26.56723927706727,474.20515981253993,470.61548078657785,132.19544591666667,124.84993403278688,54.91570076666667,53.463750508196725,700.1034800166667,677.1233380983607,645.5166666666667,629.8688524590164,2.4538171357594476,3.3371615504493892,0.7598646497997544,3.220669847692534,1.99463784269354
GP12,1.4,292.32676499701586,295.7384079534754,2.1832409617700836,2.186770673375525,62.19771017298984,60.69317481388327,25.077659997745666,25.04505074593795,470.72201415465,472.57120853886397,142.27111353968255,136.8328984590164,52.31544477777778,53.054998344262295,715.8468259841269,708.2033921639345,621.7301587301587,627.360655737705,0.9015352514532732,1.0734781291817752,0.3920720174229419,1.160294169213359,0.16154243513012573
GP12,1.5,283.10285323008463,278.86510708505386,2.434333178292762,2.3549862418792458,67.99472148999135,66.20888859189166,25.782277036813092,25.57554779582307,476.923273884747,473.49610983321253,155.90917756923076,147.00653752307693,57.229366661538464,55.21951570769231,746.1466825076923,726.3081711846154,593.2923076923076,588.9076923076923,0.7417721848444186,2.6946172608729184,0.7211898473972109,1.5081806950895706,3.313495277818261
GP12,1.6,275.11974903464176,269.7665644709403,2.587800364623234,2.4666792932639447,70.7356488628386,68.65817916339363,23.651362694823348,23.195167127756584,476.14527919149555,472.26935572622256,162.72610135820895,154.0430786119403,54.08890162686567,52.79240429850746,765.5535606119403,742.518571119403,579.0597014925373,570.776119402985,1.4408286711925204,3.0548922704502166,0.8173478819438923,1.964881271934029,4.7926227646514645
GP12,1.7,273.33859840414846,263.3077110131618,2.5878009064319194,2.6751453150388347,73.45075818526483,73.41472702280731,23.54489652212574,23.12721102473957,469.56932388944495,467.5497685019614,172.669758546875,168.0792797352941,56.3634185,54.71107676470588,783.05668259375,774.6568565588235,584.453125,562.8088235294117,3.773210032518289,1.0784814824805395,0.4310136041151289,3.738360709823267,3.3192210192300426
GP13,0.6,642.5589383603846,677.0564152846184,1.608417763588083,1.5677622685484367,37.95336441706861,39.273002327078494,36.28928985710765,34.53551476099284,623.241426816905,634.3787499773542,83.05863633333334,83.10339734210527,61.313638179487185,56.373286842105266,868.3618899487179,859.5833725,1031.4102564102564,1067.1052631578948,3.4019292604501725,1.0160642978097187,1.7711743761679868,5.228413996388561,2.5600245973650653
GP13,0.7,598.3178125162857,611.3614073216786,1.8040651333225886,1.6512654536250637,45.07999333362039,46.057085387363585,36.16227463251838,34.506934595213764,629.1025295664773,630.3106317554183,95.60352328571427,101.14622700000001,59.22160111904763,55.40946333333333,863.6580185714286,852.9068574761905,941.7857142857143,958.3333333333334,1.7417455046676262,1.2526367334269015,0.19185160613582045,2.156537798035411,8.844287158787012
GP13,0.8,557.8450170149333,584.7233275825228,1.9042431054102393,1.8003911588775388,54.22867652637078,52.77309114532095,43.890573710805455,42.314123417518026,635.1986451956192,639.6848345015932,111.98305768888889,115.51424631818182,70.56883013333332,66.32584222727273,872.5741048222221,861.8473954772727,876.4444444444445,914.0,4.195109842373091,1.2369207073479165,0.703780286970161,4.704893268692661,5.606596447796246
GP13,0.9,518.727317009552,551.9424388581915,2.026235606178597,1.9564324099128705,58.178770143080804,59.26461859057592,38.50516033954506,37.15001067948429,631.1720457303758,645.7910384628981,121.56595004166667,132.47247972340426,64.19149702083332,61.44815404255319,869.1737544583333,881.3980621702127,810.5833333333334,854.8936170212766,5.321032353946265,1.3966073937397674,2.2896500162740283,6.2045503137836455,3.505348474123134
GP13,1.0,486.7834370157549,521.20570422106,2.239084225548871,2.162443616065812,63.50963726691089,66.58461938108955,43.94604420021882,42.05659249674451,637.0504679689146,651.0792713305539,133.79655931372548,148.00131056,72.5741121372549,70.0194048,897.5177480392157,899.45964112,760.7450980392157,800.48,5.090220751727403,0.21612882749660278,2.1781662100695858,6.829888497224992,3.4824548311816943
